大分類No.,大分類,中分類No.,中分類,要求事項No.,★3,★4,要求事項名,要求事項,★3/★4,評価基準No.,評価基準,NIST CSFにおける機能
6,インシデントへの対応,6-1,インシデント管理,6-1-1,○,○,インシデント対応手順,セキュリティインシデントへの対応手順、対応体制等を定めること。,★3,6-1-1-2,・セキュリティインシデント発生時における社内外組織(関係当局及び所管省庁を含む。)の連絡先及び報告・情報共有ルートを定めること。,対応(RS)
6,インシデントへの対応,6-1,インシデント管理,6-1-1,○,○,インシデント対応手順,セキュリティインシデントへの対応手順、対応体制等を定めること。,★3,6-1-1-3,・セキュリティインシデント発生時におけるセキュリティを統括する役員(例えば、CISOを設置する会社の場合は、当該CISO)及びセキュリティ担当部署の役割・責任を定めること。,対応(RS)
6,インシデントへの対応,6-1,インシデント管理,6-1-1,○,○,インシデント対応手順,セキュリティインシデントへの対応手順、対応体制等を定めること。,★3,6-1-1-4,・年1回以上の頻度でNo.6-1-1-2及びNo.6-1-1-3にて定めたセキュリティインシデント発生時の体制について点検すること。,対応(RS)
6,インシデントへの対応,6-1,インシデント管理,6-1-1,○,○,インシデント対応手順,セキュリティインシデントへの対応手順、対応体制等を定めること。,★3,6-1-1-5,・セキュリティインシデントの報告フォーマットを整備すること。,対応(RS)
6,インシデントへの対応,6-1,インシデント管理,6-1-1,○,○,インシデント対応手順,セキュリティインシデントへの対応手順、対応体制等を定めること。,★3,6-1-1-6,・年１回以上及び社内外で重大なセキュリティインシデントが発生した際に、インシデント事例及びその対応策を社内部署へ共有していること。,対応(RS)
7,インシデントからの復旧,7-1,インシデント復旧計画の実行,7-1-1,○,○,事業継続要件に沿った復旧準備,事業上重要なシステムについて、事業継続の要件に沿う復旧に必要な準備を行うこと。,★3,7-1-1-1,"・事業継続上重要なシステムについて、サイバー攻撃を念頭に、業務の目標復旧レベルを定めたうえで、当該レベルまで業務を回復するために必要な対策を、以下の例を参考として整備すること。
[復旧のための対策(例)]
- システムによる業務継続(例:予備機、クラウド環境等により待機系を整備する。)
- 人手による業務継続(例:電話、FAX等による連絡又は業務の実施に備え、影響のある取引先の連絡先及び複数の連絡手段を整備する。)",復旧(RC)
7,インシデントからの復旧,7-1,インシデント復旧計画の実行,7-1-1,,○,事業継続要件に沿った復旧準備,事業上重要なシステムについて、事業継続の要件に沿う復旧に必要な準備を行うこと。,★4,7-1-1-2,"・事業継続上重要なシステムについて、サイバー攻撃を念頭に、以下の対策を構じること。
- 目標復旧時点への復旧ができるようにNo.4-3-4-1及びNo.4-3-4-2で取得したバックアップを保管すること。
- No.4-3-4-3で定めたリストア手順書どおりに、かつ、目標復旧時間内でバックアップの復元ができることを確認すること。",復旧(RC)
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
